SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year
1,"b'SOMZWCG12A8C13C480'",300848,"b'Fear Itself'","b'ARD7TVE1187B99BFB1'",,"b'California - LA'",,"b'Casual'",0.0,218.93179,1,0.736,92.198,4,0.778,"b"I Didn't Mean To"",0
2,"b'SOCIWDW12A8C13D406'",300822,"b'Dimensions'","b'ARMJAGH1187FB546F3'",35.14968,"b'Memphis TN'",-90.04892,"b'The Box Tops'",0.0,148.03546,6,0.169,121.274,4,0.384,"b'Soul Deep'",1969
3,"b'SOXVLOJ12AB0189215'",514953,"b'Las Numero 1 De La Sonora Santanera'","b'ARKRRTF1187B9984DA'",,"b''",,"b'Sonora Santanera'",0.0,177.47546,8,0.643,100.07,1,0.0,"b'Amor De Cabaret'",0
4,"b'SONHOTT12A8C13493C'",287650,"b'Friend Or Foe'","b'AR7G5I41187FB4CE6C'",,"b'London England'",,"b'Adam Ant'",0.0,233.40363,0,0.751,119.293,4,0.0,"b'Something Girls'",1982
5,"b'SOFSOCN12A8C143F5D'",611336,"b'Muertos Vivos'","b'ARXR32B1187FB57099'",,"b''",,"b'Gob'",0.0,209.60608,2,0.092,129.738,4,0.562,"b'Face the Ashes'",2007
6,"b'SOYMRWW12A6D4FAB14'",41838,"b'Ordinary Day'","b'ARKFYS91187B98E58F'",,"b''",,"b'Jeff And Sheri Easter'",0.0,267.7024,5,0.635,147.782,3,0.454,"b'The Moon And I (Ordinary Day Album Version)'",0
7,"b'SOMJBYD12A6D4F8557'",25824,"b'Da Ghetto Psychic'","b'ARD0S291187B9B7BF5'",,"b'Ohio'",,"b'Rated R'",0.0,114.78159,1,0.0,111.787,1,0.0,"b'Keepin It Real (Skit)'",0
8,"b'SOHKNRJ12A6701D1F8'",8876,"b'Gin & Phonic'","b'AR10USD1187B99F3F1'",,"b'Burlington Ontario Canada'",,"b'Tweeterfriendly Music'",0.0,189.57016,4,0.0,101.43,3,0.408,"b'Drop of Rain'",0
9,"b'SOIAZJW12AB01853F1'",358182,"b'Pink World'","b'AR8ZCNI1187B9A069B'",,"b''",,"b'Planet P Project'",0.0,269.81832,4,0.717,86.643,4,0.487,"b'Pink World'",1984
10,"b'SOUDSGM12AC9618304'",692313,"b'Superinstrumental'","b'ARNTLGG11E2835DDB9'",,"b''",,"b'Clp'",0.0,266.39628,7,0.053,114.041,4,0.878,"b'Insatiable (Instrumental Version)'",0
11,"b'SOQHXMF12AB0182363'",539081,"b'I Need You'","b'ARGSJW91187B9B1D6B'",35.21962,"b'North Carolina'",-80.01955,"b'JennyAnyKind'",0.0,218.77506,5,0.354,146.765,1,0.0,"b'Young Boy Blues'",0
12,"b'SOKEJEJ12A8C13E0D0'",163874,"b'The Way Home'","b'ARC43071187B990240'",,"b'Wisner LA'",,"b'Wayne Watson'",0.0,245.21098,7,0.07,117.975,4,0.835,"b'The Urgency (LP Version)'",0
13,"b'SOMUYGI12AB0188633'",575792,"b'Placer & Castigo'","b'ARL7K851187B99ACD2'",,"b''",,"b'Andy Andy'",0.0,226.35057,9,0.205,130.04,4,0.0,"b'La Culpa'",0
14,"b'SORAMLE12AB017C8B0'",815863,"b'Arrivederci'","b'ARHHO3O1187B989413'",,"b''",,"b'Bob Azzam'",0.0,191.84281,10,0.0,137.334,1,0.319,"b'Auguri Cha Cha'",0
15,"b'SOBONFF12A6D4F84D8'",25811,"b'Dancing On The Ceiling'","b'ARIK43K1187B9AE54C'",,"b'Beverly Hills CA'",,"b'Lionel Richie'",0.0,307.3824,3,0.524,125.197,3,0.211,"b'Tonight Will Be Alright'",1986
16,"b'SOHUOAP12A8AE488E9'",135122,"b'Outskirts'","b'ARD842G1187B997376'",43.64856,"b'Toronto Ontario Canada'",-79.38533,"b'Blue Rodeo'",0.0,491.12771,7,1.0,119.826,4,0.756,"b'Floating'",1987
17,"b'SOUQQEA12A8C134B1B'",149958,"b'Cross Currents'","b'ARIG6O41187B988BDD'",37.16793,"b'United States'",-95.84502,"b'Richard Souther'",0.0,228.5971,8,0.041,127.756,5,0.579,"b'High Tide'",0
18,"b'SOILPQQ12AB017E82A'",535188,"b'Panjtan Ka Ghulam'","b'AR1ZHYZ1187FB3C717'",,"b''",,"b'Faiz Ali Faiz'",0.0,599.24853,6,0.06,99.273,4,0.158,"b'Sohna Nee Sohna Data'",0
19,"b'SOXLBJT12A8C140925'",372309,"b'Gold'","b'ARYKCQI1187FB3B18F'",,"b''",,"b'Tesla'",0.0,290.29832,7,0.725,150.062,4,0.931,"b'Caught In A Dream'",2004
20,"b'SOZVMJI12AB01808AF'",541101,"b'Whatever Happened To Boredom?'","b'ARNPAGP1241B9C7FD4'",,"b''",,"b'lextrical'",0.0,165.69424,7,0.011,138.331,4,0.127,"b'Synthetic Dream'",0
21,"b'SOWTBJW12AC468AC6E'",605134,"b'1942-1952 Jimmy Wakely'","b'ARQGYP71187FB44566'",34.31109,"b'Mineola AR'",-94.02978,"b'Jimmy Wakely'",0.0,151.84934,1,0.799,86.186,3,0.929,"b'Broken-Down Merry-Go-Round'",0
22,"b'SOBEBDG12A58A76D60'",239740,"b'All The Good Times'","b'ARI3BMM1187FB4255E'",38.8991,"b'Washington'",-77.029,"b'Alice Stuart'",0.0,220.78649,11,0.809,110.382,1,0.192,"b'Kassie Jones'",0
23,"b'SOZCTXZ12AB0182364'",386995,"b'Un cafe_ setanta matins'","b'AR5KOSW1187FB35FF4'",49.80388,"b'Dubai UAE'",15.47491,"b'Elena'",0.0,269.58322,2,0.596,111.874,4,1.0,"b'Setanta matins'",0
24,"b'SOBBUGU12A8C13E95D'",223365,"b'Miss Machine'","b'ARMAC4T1187FB3FA4C'",40.82624,"b'Morris Plains NJ'",-74.47995,"b'The Dillinger Escape Plan'",0.0,207.77751,7,0.381,166.862,4,0.0,"b'Setting Fire to Sleeping Giants'",2004
25,"b'SOBLGCN12AB0183212'",652784,"b'Sue Thompson - Her Very Best'","b'AR47JEX1187B995D81'",37.83721,"b'Nevada MO'",-94.35868,"b'SUE THOMPSON'",0.0,124.86485,10,0.697,137.522,4,0.0,"b'James (Hold The Ladder Steady)'",1985
26,"b'SOPSWQW12A6D4F8781'",45730,"b'Live'","b'ARGIWFO1187B9B55B7'",,"b''",,"b'Five Bolt Main'",0.0,225.09669,7,0.53,164.672,1,0.0,"b'Made Like This (Live)'",0
27,"b'SOZQDIU12A58A7BCF6'",672016,"b'Strictly Confidential'","b'ARNTLGG11E2835DDB9'",,"b''",,"b'Clp'",0.0,338.31138,6,0.687,125.006,4,1.0,"b'Superconfidential'",0
28,"b'SONYPOM12A8C13B2D7'",160881,"b'The Real Twang Thang'","b'ARDNS031187B9924F0'",32.67828,"b'Georgia'",-83.22295,"b'Tim Wilson'",0.0,186.48771,5,0.762,90.022,1,0.971,"b'I Think My Wife Is Running Around On Me (Taco Hell)'",2005
29,"b'SOBZBAZ12A6D4F8742'",59744,"b"Willie Bobo's Finest Hour"","b'AROUOZZ1187B9ABE51'",40.79195,"b'New York NY [Spanish Harlem]'",-73.94512,"b'Willie Bobo'",0.0,168.25424,8,0.812,127.025,4,0.792,"b'Spanish Grease'",1997
30,"b'SOVYKGO12AB0187199'",373723,"b'Shake A Hand'","b'ARH4Z031187B9A71F2'",40.73197,"b'Newark NJ'",-74.17418,"b'Faye Adams'",0.0,156.39465,8,0.569,95.957,3,0.689,"b'Crazy Mixed Up World'",1961
31,"b'SOGNCJP12A58A80271'",228326,"b'Occasional Rain'","b'ARB29H41187B98F0EF'",41.88415,"b'Chicago'",-87.63241,"b'Terry Callier'",0.0,342.56934,6,0.381,110.189,3,0.353,"b'Do You Finally Need A Friend'",1972
32,"b'SOLLHMX12AB01846DC'",463514,"b'The Emperor Falls'","b'AR1Y2PT1187FB5B9CE'",27.94017,"b'Brandon'",-82.32547,"b'John Wesley'",0.0,484.62322,4,0.283,138.007,4,0.893,"b'The Emperor Falls'",0
33,"b'SOYTPEP12AB0180E7B'",643400,"b'Best of The Shangri-Las'","b'ARAJPHH1187FB5566A'",40.7038,"b'Queens NY'",-73.83168,"b'The Shangri-Las'",0.0,164.80608,10,0.254,130.1,1,0.0,"b'Twist and Shout'",1964
34,"b'SOGXHEG12AB018653E'",663761,"b'20 Of Her Best'","b'AR0RCMP1187FB3F427'",30.08615,"b'Beaumont TX'",-94.10158,"b'Billie Jo Spears'",0.0,133.32853,4,0.384,160.839,1,0.0,"b'It Makes No Difference Now'",1992
35,"b'SOOLYAZ12A6701F4A6'",12882,"b'Who Is Mike Jones?'","b'AREBBGV1187FB523D2'",,"b'Houston TX'",,"b"Mike Jones (Featuring CJ_ Mello & Lil' Bran)"",0.0,173.66159,7,0.299,41.993,1,0.0,"b'Laws Patrolling (Album Version)'",0
36,"b'SOGOSOV12AF72A285E'",270281,"b'Tibiri Tabara'","b'ARGUVEV1187B98BA17'",,"b''",,"b'Sierra Maestra'",0.0,313.12934,9,0.724,189.646,3,0.674,"b'\xc2\xbfD\xc3\xb3nde va Chichi?'",1997
